172.16.237.58 - - [24/May/2019:05:53:56 +0000] "GET /publisher/site/themes/wso2/templates/utils/dialog/workflow-dialog.js HTTP/1.1" 200 944 "https://172.16.238.64:9443/publisher/site/pages/login.jag?requestedPage=/publisher/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0"
172.16.237.58 - - [24/May/2019:05:53:56 +0000] "GET /publisher/site/themes/wso2/libs/handlebars.min.js HTTP/1.1" 200 36033 "https://172.16.238.64:9443/publisher/site/pages/login.jag?requestedPage=/publisher/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0"
172.16.237.58 - - [24/May/2019:05:53:56 +0000] "GET /publisher/site/themes/wso2/libs/jquery_1.11.0/jquery-1.11.3.min.js HTTP/1.1" 200 33789 "https://172.16.238.64:9443/publisher/site/pages/login.jag?requestedPage=/publisher/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0"
172.16.237.58 - - [24/May/2019:05:53:57 +0000] "GET /publisher/site/themes/wso2/libs/bootstrap-rating/bootstrap-rating.css HTTP/1.1" 200 210 "https://172.16.238.64:9443/publisher/site/pages/login.jag?requestedPage=/publisher/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0"
172.16.237.58 - - [24/May/2019:05:53:57 +0000] "GET /publisher/site/themes/wso2/libs/enjoyhint-3.1.0/enjoyhint.js HTTP/1.1" 200 38438 "https://172.16.238.64:9443/publisher/site/pages/login.jag?requestedPage=/publisher/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0"
172.16.237.58 - - [24/May/2019:05:53:57 +0000] "GET /publisher/site/themes/wso2/libs/enjoyhint-3.1.0/src/jquery.enjoyhint.css HTTP/1.1" 200 1285 "https://172.16.238.64:9443/publisher/site/pages/login.jag?requestedPage=/publisher/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.157 Safari/537.36"
172.16.237.58 - - [24/May/2019:05:53:57 +0000] "GET /publisher/site/themes/wso2/libs/bootstrap-select/css/bootstrap-select.min.css HTTP/1.1" 200 1442 "https://172.16.238.64:9443/publisher/site/pages/login.jag?requestedPage=/publisher/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0"
172.16.237.58 - - [24/May/2019:05:53:57 +0000] "GET /publisher/site/themes/wso2/css/custom.css HTTP/1.1" 200 1741 "https://172.16.238.64:9443/publisher/site/pages/login.jag?requestedPage=/publisher/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0"
172.16.237.58 - - [24/May/2019:05:53:57 +0000] "GET /publisher/site/themes/wso2/libs/data-tables_1.10.7/extensions/Bootstrap/css/dataTables.bootstrap.css HTTP/1.1" 200 1969 "https://172.16.238.64:9443/publisher/site/pages/login.jag?requestedPage=/publisher/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0"
172.16.237.58 - - [24/May/2019:05:53:57 +0000] "GET /publisher/site/themes/wso2/libs/enjoyhint-3.1.0/src/jquery.enjoyhint.css HTTP/1.1" 200 1285 "https://172.16.238.64:9443/publisher/site/pages/login.jag?requestedPage=/publisher/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0"
